,(),selector,selection,selector context,,,,
add,,1,1,+ACI-x.add(s,c)+AD0-x.add(+ACQ-(c).find(s))  +ACI-,,,,
children,1,1,,,,,,
closest,,1,1,1,,,,
contents,1,,,,,,,
end,1,,,,,,,
filter,,1,1,,function,,,
find,,1,1,,,,,
first,1,,,,,,,
has,,1,1,,,,,
last,1,,,,,,,
next,1,1,,,,,,
nextAll,1,1,,,,,,
nextUntil,1,1,1,,,,,
not,,1,1,,function,,,
offsetParent,1,,,,,,,
parent,1,1,,,,,,
parents,1,1,,,,,,
parentsUntil,1,1,1,,,,,
prev,1,1,,,,,,
prevAll,1,1,,,,,,
prevUntil,1,1,1,,,,,
siblings,1,1,,,,,,
,,,,,,,,
slice,,,,,start,end,,
eq,,,,,index,,,
map,,,,,function,,,
,,,,,,,,
addBack,1,the combinator version can be composed,,,,,,
,,,,,,,,
is,,1,1,,function,,,Boolean
